Type,sCMOS-I
Maker,"Hamamatsu"
ProductName,"Gen I Scientific CMOS Camera"
Comment,""
Public,1
image_size,600
pixel_length,6.5e-6
readout,3.0
dark_current,0.02
excess,1.00
QE
468, 0.65462186117
469, 0.655557703557
470, 0.656465111482
471, 0.657343963226
472, 0.658194140794
473, 0.659015529938
474, 0.659808020185
475, 0.660571504859
476, 0.661305881109
477, 0.662011049928
478, 0.662686916179
479, 0.663333388612
480, 0.663950379888
481, 0.664537806599
482, 0.665095589284
483, 0.665623652447
484, 0.666121924579
485, 0.666590338166
486, 0.667028829714
487, 0.667437339753
488, 0.667815812858
489, 0.668164197661
490, 0.668482446856
491, 0.668770517218
492, 0.669028369608
493, 0.669255968983
494, 0.669453284404
495, 0.669620289044
496, 0.669756960191
497, 0.669863279258
498, 0.669939231781
499, 0.669984807428
500, 0.67
501, 0.669984807428
502, 0.669939231781
503, 0.669863279258
504, 0.669756960191
505, 0.669620289044
506, 0.669453284404
507, 0.669255968983
508, 0.669028369608
