Type,sCMOS-II
Maker,"Hamamatsu"
ProductName,"Gen II Scientific CMOS Camera"
Comment,""
Public,1
image_size,600
pixel_length,6.5e-6
readout,1.9
dark_current,0.00
excess,1.00
QE
460, 0.468061683554
461, 0.47103227699
462, 0.474000226455
463, 0.476965245245
464, 0.479927045257
465, 0.482885337032
466, 0.485839829797
467, 0.488790231515
468, 0.491736248923
469, 0.494677587587
470, 0.497613951939
471, 0.500545045331
472, 0.50347057008
473, 0.506390227517
474, 0.509303718032
475, 0.512210741128
476, 0.515110995469
477, 0.518004178927
478, 0.520889988636
479, 0.523768121044
480, 0.526638271959
481, 0.529500136606
482, 0.532353409676
483, 0.535197785381
484, 0.538032957505
485, 0.54085861946
486, 0.543674464337
487, 0.546480184961
488, 0.549275473945
489, 0.552060023749
490, 0.554833526727
491, 0.557595675192
492, 0.560346161462
493, 0.563084677925
494, 0.56581091709
495, 0.568524571642
496, 0.571225334505
497, 0.573912898894
498, 0.576586958373
499, 0.579247206913
